Order_ID,Customer_ID,Customer_Name,Email,Product,Category,Price,Quantity,Order_Date,City
1051,336,Usman,ali@gmail.com,Smartwatch,Electronics,-100,50,2023-01-01,Karachi
1092,261,Sara,,Phone,Electronics,800,3,2023-01-02,Islamabad
1014,250,Fatima,sara@yahoo.com,Phone,Electronics,500,,2023-01-03,
1071,258,Sara,ali@gmail.com,Tablet,Electronics,1500,2,2023-01-04,Lahore
1060,317,,sara@yahoo.com,Laptop,Accessories,800,50,2023-01-05,Rawalpindi
1020,295,Ahmed,user@outlook.com,Smartwatch,Accessories,500,2,2023-01-06,Lahore
1082,312,Ali,sara@yahoo.com,Laptop,Accessories,,5,2023-01-07,
1086,261,Ahmed,sara@yahoo.com,Laptop,Accessories,1200,1,2023-01-08,Karachi
1074,251,Fatima,ali@gmail.com,Tablet,Electronics,-100,,2023-01-09,Karachi
1074,211,Sara,ali@gmail.com,Smartwatch,Electronics,,2,2023-01-10,
1087,238,Sara,ali@gmail.com,Smartwatch,Accessories,500,1,2023-01-11,Karachi
1099,329,Usman,sara@yahoo.com,Headphones,Accessories,,50,2023-01-12,Karachi
1023,330,Sara,user@outlook.com,Laptop,Accessories,1200,1,2023-01-13,Karachi
1002,312,Usman,,Laptop,Electronics,500,,2023-01-14,Rawalpindi
1021,300,,,Phone,Accessories,,2,2023-01-15,Rawalpindi
1052,312,Ali,ali@gmail.com,Headphones,Accessories,-100,5,2023-01-16,Islamabad
1001,280,Fatima,ali@gmail.com,Phone,Accessories,-100,50,2023-01-17,Lahore
1087,312,Usman,sara@yahoo.com,Phone,Electronics,800,2,2023-01-18,
1029,201,Ali,,Phone,Electronics,,,2023-01-19,
1037,329,Sara,ali@gmail.com,Tablet,Electronics,1500,50,2023-01-20,
1001,253,Sara,user@outlook.com,Tablet,Electronics,,3,2023-01-21,Islamabad
1063,286,Ali,user@outlook.com,Phone,Electronics,500,1,2023-01-22,Rawalpindi
1059,328,Sara,ali@gmail.com,Headphones,Electronics,500,,2023-01-23,Islamabad
1020,346,,ali@gmail.com,Laptop,Electronics,,3,2023-01-24,
1032,325,,,Headphones,Electronics,1200,2,2023-01-25,Lahore
1075,329,Ali,,Smartwatch,Accessories,-100,5,2023-01-26,Karachi
1057,252,Usman,sara@yahoo.com,Tablet,Accessories,500,50,2023-01-27,Rawalpindi
1021,267,Usman,,Laptop,Electronics,-100,1,2023-01-28,Rawalpindi
1088,322,Ali,user@outlook.com,Laptop,Electronics,500,50,2023-01-29,Islamabad
1048,344,Usman,user@outlook.com,Smartwatch,Accessories,800,2,2023-01-30,Rawalpindi
1090,237,Usman,ali@gmail.com,Smartwatch,Electronics,1500,50,2023-01-31,
1058,223,,,Phone,Electronics,500,1,2023-02-01,
1041,268,Usman,sara@yahoo.com,Tablet,Electronics,-100,2,2023-02-02,Islamabad
1091,315,Ahmed,user@outlook.com,Tablet,Accessories,800,50,2023-02-03,
1059,297,Fatima,user@outlook.com,Headphones,Accessories,500,5,2023-02-04,Lahore
1079,338,Sara,sara@yahoo.com,Phone,Accessories,1200,,2023-02-05,Islamabad
1014,343,Ahmed,sara@yahoo.com,Phone,Accessories,1500,2,2023-02-06,Lahore
1061,296,Usman,user@outlook.com,Phone,Accessories,500,,2023-02-07,Karachi
1061,323,,user@outlook.com,Phone,Electronics,800,2,2023-02-08,Lahore
1046,269,Ali,sara@yahoo.com,Tablet,Accessories,1200,5,2023-02-09,Karachi
1061,292,Usman,user@outlook.com,Tablet,Electronics,,,2023-02-10,Karachi
1050,202,,ali@gmail.com,Phone,Electronics,800,3,2023-02-11,Lahore
1054,347,Fatima,ali@gmail.com,Headphones,Accessories,800,1,2023-02-12,Islamabad
1063,346,Usman,sara@yahoo.com,Laptop,Accessories,1200,3,2023-02-13,
1002,289,Ali,,Laptop,Electronics,800,50,2023-02-14,
1050,346,,sara@yahoo.com,Headphones,Electronics,1200,5,2023-02-15,Karachi
1006,347,,sara@yahoo.com,Phone,Electronics,500,3,2023-02-16,Karachi
1020,295,,,Tablet,Accessories,1200,2,2023-02-17,Islamabad
1072,251,Fatima,,Laptop,Accessories,1200,50,2023-02-18,Rawalpindi
1038,327,Usman,,Smartwatch,Accessories,1500,50,2023-02-19,Lahore
1017,238,Fatima,ali@gmail.com,Smartwatch,Accessories,1200,3,2023-02-20,Karachi
1003,281,Sara,user@outlook.com,Headphones,Accessories,1200,3,2023-02-21,
1088,303,Sara,ali@gmail.com,Phone,Electronics,,5,2023-02-22,Islamabad
1059,328,Usman,user@outlook.com,Laptop,Accessories,500,1,2023-02-23,Lahore
1013,210,Fatima,ali@gmail.com,Phone,Electronics,1500,3,2023-02-24,Islamabad
1008,241,Ali,user@outlook.com,Laptop,Electronics,,3,2023-02-25,Lahore
1089,298,,ali@gmail.com,Headphones,Electronics,-100,,2023-02-26,Lahore
1052,206,,,Headphones,Accessories,500,2,2023-02-27,Karachi
1001,343,Usman,sara@yahoo.com,Smartwatch,Accessories,500,,2023-02-28,Islamabad
1083,289,Sara,ali@gmail.com,Phone,Accessories,-100,,2023-03-01,Islamabad
1091,311,Sara,user@outlook.com,Smartwatch,Electronics,1200,50,2023-03-02,
1059,259,,,Phone,Electronics,,1,2023-03-03,
1070,312,Usman,ali@gmail.com,Smartwatch,Electronics,800,2,2023-03-04,Karachi
1043,201,Fatima,ali@gmail.com,Tablet,Electronics,1500,5,2023-03-05,Karachi
1007,328,Sara,,Tablet,Electronics,800,5,2023-03-06,Rawalpindi
1046,247,Fatima,ali@gmail.com,Tablet,Electronics,-100,3,2023-03-07,
1034,339,Sara,sara@yahoo.com,Tablet,Accessories,500,3,2023-03-08,Lahore
1077,236,Sara,ali@gmail.com,Laptop,Accessories,500,5,2023-03-09,Islamabad
1080,208,Ahmed,sara@yahoo.com,Tablet,Accessories,1500,3,2023-03-10,Karachi
1035,298,Sara,sara@yahoo.com,Headphones,Accessories,500,1,2023-03-11,Islamabad
1049,346,Ali,,Headphones,Electronics,500,,2023-03-12,Islamabad
1003,247,Usman,ali@gmail.com,Laptop,Electronics,1500,3,2023-03-13,Rawalpindi
1001,330,Usman,,Tablet,Accessories,,50,2023-03-14,
1005,347,Fatima,ali@gmail.com,Tablet,Electronics,,3,2023-03-15,Karachi
1053,253,Sara,ali@gmail.com,Tablet,Accessories,1500,2,2023-03-16,Islamabad
1003,319,Ali,user@outlook.com,Smartwatch,Accessories,-100,1,2023-03-17,Karachi
1053,315,Fatima,ali@gmail.com,Phone,Accessories,500,2,2023-03-18,Lahore
1092,274,Ahmed,,Smartwatch,Electronics,500,2,2023-03-19,Rawalpindi
1062,312,Fatima,sara@yahoo.com,Phone,Accessories,-100,50,2023-03-20,Lahore
1017,303,Fatima,ali@gmail.com,Tablet,Accessories,,1,2023-03-21,Karachi
1089,283,Sara,user@outlook.com,Tablet,Accessories,1200,1,2023-03-22,Karachi
1043,311,Ahmed,,Smartwatch,Electronics,1200,1,2023-03-23,
1033,298,Fatima,ali@gmail.com,Smartwatch,Electronics,1200,1,2023-03-24,Islamabad
1073,292,Ali,,Phone,Accessories,,1,2023-03-25,Islamabad
1061,345,Ali,user@outlook.com,Headphones,Electronics,,50,2023-03-26,Lahore
1099,327,Usman,user@outlook.com,Phone,Electronics,-100,3,2023-03-27,Rawalpindi
1013,309,Ahmed,,Smartwatch,Electronics,500,2,2023-03-28,Islamabad
1094,281,Ahmed,ali@gmail.com,Smartwatch,Electronics,-100,1,2023-03-29,
